name,address,category,phone_number,hours,website,latitude,longitude
Davani’s,"1922-11A Augusta Street, Greenville, SC 29605",Italian,(864) 373-9013,,,,
Green Lettuce,"19 Augusta Street, Greenville, SC 29601",Mediterranean,(864) 250-9650,,,,
Rick Erwin’s West End Grille,"648 South Main Street, Greenville, SC 29601","Steakhouse, Seafood",(864) 232-8999,,,,
Pomegranate on Main,"618 South Main Street, Greenville, SC 29601",Persian,(864) 241-3012,,,,
Jianna,"600 South Main Street, Suite 200, Greenville, SC 29601",Italian,(864) 720-2200,,,,
Hall’s Chophouse,"550 South Main Street, Greenville SC 29601","American, Steak",(864) 335-4200,,,,
Husk - Greenville,"722 South Main Street, Greenville, SC 29601","Southern, American",(864) 627-0404,,,,
Passerelle Bistro,"601 South Main Street, Greenville, SC 29601",French,(864) 509-0142,,,,
Larkin’s on the River,"318 South Main Street, Greenville, SC 29601","American, Steak",(864) 467-9777,,,,
The Lazy Goat,"170 River Place, Greenville, SC 29601",Mediterranean,(864) 679-5299,,,,
Rick Erwin’s Nantucket Seafood,"40 West Broad Street, Greenville, SC 29601","Seafood, American",(864) 546-3535,,,,
Soby’s,"207 South Main Street, Greenville, SC 29601","Southern, Contemporary American",(864) 232-7007,,,,
Nose Dive,"116 South Main Street, Greenville, SC 29601","American, Gastro Pub",(864) 373-7300,,,,
Limoncello,"401 River Street, Greenville, SC 29601",Italian,(864) 263-7000,,,,
Crepe du Jour,"20 South Main Street, Greenville, SC 29601",French,(864) 520-2882,,,,
Abanico Tapas Bar and Restaurant,"21 East Washington Street, Greenville, SC 29601","Spanish, Tapas",(864) 729-2571,,,,
Tupelo Honey - Greenville,"1 North Main Street, Greenville, SC 29601",Contemporary Southern,(864) 451-6200,,,,
Sassafras Southern Bistro,"103 North Main Street, Greenville, SC 29601","American, Southern",(864) 235-5670,,,,
Roost,"220 North Main Street, Greenville, SC 29601","Contemporary American, Southern",(864) 298-2424,,,,
Stella’s Southern Brasserie,"340 Rocky Slope Road, Greenville, SC 29607",American,(864) 626-6900,,,,
Bacon Bros Public House,"3620 Pelham Road, Greenville, SC 29615","American, Southern",(864) 297-6000,,,,
Chophouse 47,"36 Beacon Drive, Greenville, SC 29615","Steak, American",(864) 286-8700,,,,
Rick Erwin’s Eastside,"8595 Pelham Road, Greenville, SC 29615","Steak, Seafood",(864) 672-9040,,,,
Papi’s Tacos,"300 River Street #123, Greenville, SC 29601",Mexican,(864) 373-7274,,,,
Grill Marks,"209 S Main St, Greenville, SC 29601","American, Hamburgers",(864) 233-5825,,,,
Willy Taco - Feed & Seed,"217 Laurens Rd, Greenville, SC 29607",Tex-Mex,(864) 412-8700,,,,
Pita House,"495 S Pleasantburg Dr, Greenville, SC 29607",Middle Eastern,(864) 271-9895,,,,
Kitchen Sync,"1609 Laurens Rd, Greenville, SC 29607",American,(864) 568-8115,,,,
Biscuit Head,"823 South Church Street, Unit C, Greenville, SC 29601",Breakfast,(864) 248-0371,,,,
Sidewall Pizza Company,"99 Cleveland St, Greenville, SC 29601",Pizza,(864) 558-0235,,,,
